id,name_en,query,status,result_type,formatted_address,place_id,latitude,longitude,applied
BD-WB-0096,Bishkhali,"Bishkhali, River, Bangladesh",OK,establishment|natural_feature,"Bishkhali River, Bangladesh",ChIJ2RxUZY6eqjARHW5YjzbxxCo,22.16088351197326,90.03737472631653,yes
BD-WB-0097,Kirtankhola,"Kirtankhola, River, Bangladesh",OK,establishment|natural_feature,"Kirtankhola River, Bangladesh",ChIJmUbbVV8xVTcR1sYfago-jBw,22.69688232810897,90.37489071534773,yes
BD-WB-0098,Payra (Burishwar),"Payra (Burishwar), River, Bangladesh",OK,neighborhood|political,"Burishwar, Bangladesh",ChIJhf1bC7BUUTcRJ3tVm0zoHgY,24.2207917,91.22294780000001,yes
BD-WB-0099,Rupsa-Pasur,"Rupsa-Pasur, River, Bangladesh",OK,establishment|natural_feature,"Pasur River, Bangladesh",ChIJV_xgldr7ADoRmkrmLXkyW8U,21.7502997,89.50146579999999,yes
BD-WB-0100,Naf,"Naf, River, Bangladesh",OK,establishment|natural_feature,Naf River,ChIJXzYfpt8IrjARQabsRCP_X-I,21.0056928,92.26673219999999,yes
BD-WB-0101,Balu,"Balu, River, Bangladesh",OK,establishment|natural_feature,"Balu River, Bangladesh",ChIJxcgjE0-2VTcRDwifB9_8R20,23.77737989374433,90.48563427424182,yes
BD-WB-0102,Teesta,"Teesta, River, Bangladesh",OK,establishment|natural_feature,Teesta River,ChIJYdb7_wk95DkRgYkECDSxcnA,26.57695556933984,89.0127980340611,yes
BD-WB-0103,Jamuna,"Jamuna, River, Bangladesh",OK,establishment|natural_feature,Jamuna River,ChIJfx5_t8pU4zkRKiSmv4zh8OM,25.42119045665531,88.91239572365043,yes
BD-WB-0104,Meghna (Upper & Lower),"Meghna (Upper & Lower), River, Bangladesh",OK,establishment|natural_feature,"Meghna River, Bangladesh",ChIJI-rxP-83VDcRxpq2QD02mEs,23.25946634887056,90.76400456898428,yes
BD-WB-0105,Padma,"Padma, River, Bangladesh",OK,establishment|natural_feature,Padma River,ChIJbYmxhjdK-jkRWdCaPmXfo0A,23.92325433428013,89.34457595499026,yes
BD-WB-0106,Madhumati,"Madhumati, River, Bangladesh",OK,establishment|natural_feature,"Madhumati River, Bangladesh",ChIJXxLg1fKX_jkRosqr8vXE1Cc,23.45216245500611,89.43493576077148,yes
BD-WB-0107,Baral,"Baral, River, Bangladesh",OK,establishment|natural_feature,"Baral River, Bangladesh",ChIJfQrZUscX_DkRznNTRxyxDj4,24.33130159962144,89.03289559783643,yes
BD-WB-0108,Gumti,"Gumti, River, Cumilla, Bangladesh",OK,establishment|natural_feature,Gomati,ChIJ8yo1orCZUzcRVWGEQRJBcIw,23.5368015989702,91.25456901605803,yes
BD-WB-0109,Dhanu,"Dhanu, River, Bangladesh",OK,establishment|natural_feature,"Danu River, Bangladesh",ChIJsZPqUAa7VjcR3mdClx6VmOE,24.61527278411843,91.08744479370975,yes
BD-WB-0110,Kalni,"Kalni, River, Bangladesh",OK,establishment|natural_feature,"Kalni River, Bangladesh",ChIJ04fjNA1GUTcRVZx2YstREok,24.42449712662809,91.358241145361,yes
BD-WB-0111,Tentulia,"Tentulia, River, Bangladesh",OK,establishment|natural_feature,"Tentulia River, Bangladesh",ChIJ53ajH9DVqjARzdjUy29W8LU,22.5174148,90.606207,yes
BD-WB-0112,Kumar,"Kumar, River, Bangladesh",OK,establishment|natural_feature,"Kumar River, Bangladesh",ChIJ_UXuGoy4_jkR9ArbJvGJfsY,23.64245543860489,89.2078021022346,yes
BD-WB-0113,Ichamati-Kalindi,"Ichamati-Kalindi, River, Bangladesh",OK,establishment|natural_feature,Ichamati River,ChIJXwQclABY_zkRvQzeUUC6kYc,22.6178904,88.9425836,yes
BD-WB-0114,Raimangal,"Raimangal, River, Bangladesh",OK,establishment|natural_feature,"Raimangal River, Bangladesh",ChIJIVghwgULAToR763WSQfBlzw,21.79491458963236,89.12289811411134,yes
BD-WB-0115,Pashur,"Pashur, River, Bangladesh",OK,establishment|natural_feature,"Pashur River, Bangladesh",ChIJDUKFJepQADoRGadF_eP96aE,22.21393976916782,89.58740977901867,yes
BD-WB-0116,Andhar Manik,"Andhar Manik, River, Patuakhali, Bangladesh",OK,establishment|point_of_interest,"X6PJ+3C7, Kalapara, Bangladesh",ChIJPbE4RwCNqjARm3iD4mqSitc,21.9851561,90.23105559999999,yes
BD-WB-0117,Betna,"Betna, River, Bangladesh",OK,establishment|natural_feature,Betna River,ChIJGYnEbQs5_zkRVT3UJhs9ibo,22.90274918874813,89.02469050823333,yes
BD-WB-0118,Ghaghat,"Ghaghat, River, Bangladesh",OK,establishment|natural_feature,"Ghaghat River, Bangladesh",ChIJ99uoeWPU_DkRk9IxQgYWF5Y,25.64327196727139,89.35975113801771,yes
BD-WB-0119,Chandana-Barasia,"Chandana-Barasia, River, Bangladesh",OK,establishment|natural_feature,"Barashiah River, Bangladesh",ChIJBXX1uC_I_zkRdZETN7AFRZQ,23.26818520369524,89.7191950784388,yes
BD-WB-0120,Little Feni,"Little Feni, River, Bangladesh",OK,establishment|natural_feature,"Little Feni River, Bangladesh",ChIJuYVNYcJPUzcR4oALxgj33eU,22.7796301,91.37856769999999,yes
BD-WB-0121,Kacha,"Kacha, River, Bangladesh",OK,country|political,Bangladesh,ChIJp4vhgO2qrTARa_zhxOAoLQ8,23.684994,90.356331,yes
BD-WB-0122,Sandhya,"Sandhya, River, Bangladesh",OK,establishment|natural_feature,"Sandha River, Bangladesh",ChIJR0O_239OVTcRgWwwBozgKck,22.65560649944598,90.0583447145824,yes
BD-WB-0123,Panguchi,"Panguchi, River, Bangladesh",OK,country|political,Bangladesh,ChIJp4vhgO2qrTARa_zhxOAoLQ8,23.684994,90.356331,yes
BD-WB-0124,Rabnabad,"Rabnabad, River, Bangladesh",OK,establishment|natural_feature,"Khairābād Nadi, Bangladesh",ChIJQTlowBXJqjARKOV81DFOUg0,22.4957226,90.3547269,yes
BD-WB-0125,Bhogai-Kangsha,"Bhogai-Kangsha, River, Bangladesh",OK,locality|political,"Bhogai, Bangladesh",ChIJSWwErVKZVDcR0AffEcpTsQk,23.0848425,91.1351443,yes
