id,name,district,query,status,formatted_address,place_id,lat,lon,applied
536,Vatara,Dhaka,"Vatara, Dhaka, Bangladesh",OK,"Vatara, Dhaka, Bangladesh",ChIJddHqLsnHVTcR92ho7z-JMwA,23.80135,90.4337304,yes
537,Wari,Munshiganj,"Wari, Munshiganj, Bangladesh",OK,"Wari, Bangladesh",ChIJaW4FC0efVTcRVZk2R9TSzXA,23.4609812,90.2843096,yes
538,Hatirjheel,Dhaka,"Hatirjheel, Dhaka, Bangladesh",OK,"Hatir Jheel, Dhaka, Bangladesh",ChIJDU9Aw4PHVTcR34G82i4NrnY,23.769424,90.41428529999999,yes
539,Vashantek,Dhaka,"Vashantek, Dhaka, Bangladesh",OK,"Vashantek Rd, Dhaka, Bangladesh",ChIJDWUb3d_GVTcRODAUS2YV7io,23.8049579,90.3876764,yes
540,Akbar Shah,Chattogram,"Akbar Shah, Chattogram, Bangladesh",OK,"9QFJ+652 Akbar Shah, Chittagong 4200, Bangladesh",ChIJxydqdKfZrDARLKjmyQZMlZ4,22.372957,91.7803765,yes
541,Bakalia,Chattogram,"Bakalia, Chattogram, Bangladesh",OK,"Bakalia, Chattogram, Bangladesh",ChIJ27K-ehUnrTARzr3N5QDTdT8,22.3530007,91.8562218,yes
542,Bayezid Bostami,Chattogram,"Bayezid Bostami, Chattogram, Bangladesh",OK,"9R7G+GCC, Bayazid Bostami Rd, Chittagong, Bangladesh",ChIJlVYlCwDZrDAR_coFUcoy2Yw,22.3638193,91.8260079,yes
543,Chandgaon,Chattogram,"Chandgaon, Chattogram, Bangladesh",OK,"4 No. Chandgaon Ward, Chattogram, Bangladesh",ChIJ7RPBiLsnrTAR__ZLmLuAYIk,22.3887509,91.8562218,yes
544,Chittagong Kotwali,Chattogram,"Chittagong Kotwali, Chattogram, Bangladesh",OK,"Kotwali, Chattogram, Bangladesh",ChIJUTRcHKfYrDARJOtyhUDRRYE,22.3414146,91.8269573,yes
545,Double Mooring,Chattogram,"Double Mooring, Chattogram, Bangladesh",OK,"Double Mooring, Chattogram, Bangladesh",ChIJu-yzqNrYrDARTxvP0eC54Ko,22.3297149,91.80745859999999,yes
546,Epz,Chattogram,"Epz, Chattogram, Bangladesh",OK,"M. A Aziz Rd, Chittagong 4218, Bangladesh",ChIJ4xfFUk_frDAR17B1e4ddszw,22.2805989,91.78475449999999,yes
547,Halishahar,Chattogram,"Halishahar, Chattogram, Bangladesh",OK,"Halishahar, Chattogram, Bangladesh",ChIJMTnSXcXerDARLqIjZpxD97Q,22.318119,91.77822669999999,yes
548,Karnaphuli,Chattogram,"Karnaphuli, Chattogram, Bangladesh",OK,"Krishnachura, Chittagong, Bangladesh",ChIJjdCJ7vverDARrkpaOj89xuE,22.2833245,91.7872056,yes
549,Khulshi,Chattogram,"Khulshi, Chattogram, Bangladesh",OK,"Khulshi, Bangladesh",ChIJM8T0p_vYrDARY3y6abByAHY,22.3614768,91.814013,yes
550,Panchlaish,Chattogram,"Panchlaish, Chattogram, Bangladesh",OK,"Panchlaish, Chattogram, Bangladesh",ChIJyyCSqnwnrTARYUiCNQ10dPI,22.3621872,91.8342716,yes
551,Pahartali,Chattogram,"Pahartali, Chattogram, Bangladesh",OK,"Pahartali, Chattogram, Bangladesh",ChIJjeo77MfZrDARBikez4WXfGA,22.3657883,91.77822669999999,yes
552,Patenga,Chattogram,"Patenga, Chattogram, Bangladesh",OK,"Patenga, Chattogram, Bangladesh",ChIJD8bsteffrDAROOu1SUr46Pg,22.2391378,91.81446489999999,yes
553,Sadarghat,Chattogram,"Sadarghat, Chattogram, Bangladesh",OK,"8RFF+G38, Strand Road, Chittagong, Bangladesh",ChIJW_oGK_rZrDARjGD5BNf1Hsg,22.3237868,91.8227155,yes
554,Boalia,Rajshahi,"Boalia, Rajshahi, Bangladesh",OK,"Boalia Thana, Bangladesh",ChIJKwyAyHXv-zkRr0K3vcvp3Ys,24.3747269,88.6041329,yes
555,Rajpara,Rajshahi,"Rajpara, Rajshahi, Bangladesh",OK,"Rajpara, Rajshahi, Bangladesh",ChIJF05okyDv-zkRrj04T_F6Uh4,24.3735078,88.5722344,yes
556,Motihar,Rajshahi,"Motihar, Rajshahi, Bangladesh",OK,"Matihar Thana, Bangladesh",ChIJUZJTijDw-zkRrVhHQ1c0QAg,24.3616628,88.6270882,yes
557,Shah Makhdum,Rajshahi,"Shah Makhdum, Rajshahi, Bangladesh",OK,"Shah Makhdum, Rajshahi, Bangladesh",ChIJe9ePKkHu-zkR6c2RMAo1cnY,24.3935517,88.6117692,yes
558,Chandrima,Rajshahi,"Chandrima, Rajshahi, Bangladesh",OK,"9JF2+V45 Chandrima abashik, Rajshahi, Bangladesh",ChIJV3EZeADv-zkRK4b7TOQ8Dm4,24.3746497,88.60036649999999,yes
559,Katakhali,Rajshahi,"Katakhali, Rajshahi, Bangladesh",OK,"Katakhali, Bangladesh",ChIJD8GY1kAm_DkRMxoGzfUkyio,24.2103421,89.225325,yes
560,Belpukur,Rajshahi,"Belpukur, Rajshahi, Bangladesh",OK,"9P8F+2Q3, Bangladesh",ChIJo62dOmP3-zkRs42oK-0B-_I,24.3650145,88.7244071,yes
561,Airport,Rajshahi,"Airport, Rajshahi, Bangladesh",OK,"Rajshahi Division, Bangladesh",ChIJUQxO4QxR4zkRWai2T3_wsaE,24.7105776,88.94138650000001,yes
562,Kashia Danga,Rajshahi,"Kashia Danga, Rajshahi, Bangladesh",OK,"Kashia, Bangladesh",ChIJCZuNgbOU-zkRpr4MLarQnk0,24.5202514,88.54444749999999,yes
563,Karnaher,Rajshahi,"Karnaher, Rajshahi, Bangladesh",OK,"Rajshahi, Bangladesh",ChIJMdA4aqnv-zkREPTWDpU6-RA,24.3746497,88.60036649999999,yes
564,Damkura,Rajshahi,"Damkura, Rajshahi, Bangladesh",OK,"Damkura, Bangladesh",ChIJdzbvM3Hp-zkR1-vjOEhyBUo,24.4064398,88.5232509,yes
565,Khulna Sadar Thana,Khulna,"Khulna Sadar Thana, Khulna, Bangladesh",OK,"K.D. Ghos Rd, Khulna 9100, Bangladesh",ChIJoQYLPhmQ_zkRv-ciD_zjNR8,22.8171194,89.56485990000002,yes
566,Sonadanga,Khulna,"Sonadanga, Khulna, Bangladesh",OK,"Sonadanga, Khulna, Bangladesh",ChIJl4gPbrma_zkRZGM5FMK5d50,22.8247809,89.5379687,yes
567,Khalishpur,Khulna,"Khalishpur, Khulna, Bangladesh",OK,"Khalishpur, Bangladesh",ChIJS08rno6a_zkRC8wOkdk3McI,22.8624819,89.5298607,yes
568,Daulatpur,Khulna,"Daulatpur, Khulna, Bangladesh",OK,"Daulatpur, Khulna, Bangladesh",ChIJc8ZfOVaa_zkR7rVT26TnXOc,22.8634453,89.5167298,yes
569,Khan Jahan Ali,Khulna,"Khan Jahan Ali, Khulna, Bangladesh",OK,"Kcc (Khan Jahan Ali), Khulna, Bangladesh",ChIJE3G4Lqub_zkR3eYf9Cyj5vw,22.8618196,89.51164100000001,yes
570,Harintana,Khulna,"Harintana, Khulna, Bangladesh",OK,"Harintana, Khulna, Bangladesh",ChIJJ16l3euP_zkRHtqlua7wlRs,22.7905968,89.5650908,yes
571,Aranghata,Khulna,"Aranghata, Khulna, Bangladesh",OK,"Aranghata, Bangladesh",ChIJY9HFk7qb_zkRvFe4y2t_aLk,22.8723313,89.5002027,yes
572,Labanchara,Khulna,"Labanchara, Khulna, Bangladesh",OK,"QHMH+W2G, Shipyard Rd, Khulna 9201, Bangladesh",ChIJMW2vMraP_zkRJcjbkyvhwEA,22.7848147,89.5775779,yes
573,Kotwali Model,Barisal,"Kotwali Model, Barisal, Bangladesh",OK,"P94C+FWJ Kotwali Model Thana, Barisal 8200, Bangladesh",ChIJ5bID-gY0VTcRCKbVhLObCjA,22.7063099,90.37181939999999,yes
574,Kawnia,Barisal,"Kawnia, Barisal, Bangladesh",OK,"Kawnia, Barishal, Bangladesh",ChIJ8zOvyKY2VTcRUBlZAqK6rVA,22.7177927,90.3583606,yes
575,Bandar Thana,Barisal,"Bandar Thana, Barisal, Bangladesh",OK,"Barishal, Bangladesh",ChIJh-Ts-wc0VTcRSkHUmZWbBl0,22.7132876,90.3496278,yes
576,Airport Thana,Barisal,"Airport Thana, Barisal, Bangladesh",OK,"Q848+V9F, Barishal, Bangladesh",ChIJwaTJgGY2VTcRalPLOTnEiuA,22.7571957,90.31593699999999,yes
577,Kotwali,Sylhet,"Kotwali, Sylhet, Bangladesh",OK,"Kotwali, Sylhet, Bangladesh",ChIJhYdOnNOqUTcR92TyZv_ACvo,24.8889156,91.8653709,yes
578,Jalalabad,Sylhet,"Jalalabad, Sylhet, Bangladesh",OK,"Jalalabad, Sylhet, Bangladesh",ChIJ2wCbjjxVUDcRRLIGYqV1Cw8,24.9089724,91.862321,yes
579,Shah Poran,Sylhet,"Shah Poran, Sylhet, Bangladesh",OK,"R.N Tower, Mirboxtula, Chowhatta, VVXC+RXF, Sylhet 3100, Bangladesh",ChIJcQK7btZUUDcRiq16abuQaeo,24.8995551,91.8724244,yes
580,South Surma,Sylhet,"South Surma, Sylhet, Bangladesh",OK,"Sylhet, Bangladesh",ChIJnzJw0tNUUDcRgnP2MTT5jvU,24.9047808,91.86000790000001,yes
581,Gazerpara,Sylhet,"Gazerpara, Sylhet, Bangladesh",OK,"Gazir Para, Bangladesh",ChIJ1f1oUeqrUTcRAT9L6vIAY5A,24.8173923,91.8922193,yes
582,Moglabazar,Sylhet,"Moglabazar, Sylhet, Bangladesh",OK,"Sylhet, Bangladesh",ChIJnzJw0tNUUDcRgnP2MTT5jvU,24.9047808,91.86000790000001,yes
583,Airport,Sylhet,"Airport, Sylhet, Bangladesh",OK,"XV5C+87Q Osmani International Airport, Sylhet, Airport Rd, Sylhet 3101, Bangladesh",ChIJTbs110pUUDcRoHOyf0nopGA,24.9583415,91.8707201,yes
584,Tongu East,Gazipur,"Tongu East, Gazipur, Bangladesh",OK,"Gazipur, Bangladesh",ChIJoXKq2P3aVTcR2w8Dy5M3ouM,23.9905079,90.3877184,yes
585,Tongi West,Gazipur,"Tongi West, Gazipur, Bangladesh",OK,"W98R+R28, Kha-Para Rd, Tongi, Bangladesh",ChIJl96XlI7FVTcRAQIUBEcu4dY,23.9170359,90.39008369999999,yes
586,Gachha,Gazipur,"Gachha, Gazipur, Bangladesh",OK,"Gacha, Bangladesh",ChIJe1iWa1vDVTcRvu8jwTlJ93U,23.9383393,90.367774,yes
587,Basan,Gazipur,"Basan, Gazipur, Bangladesh",OK,"Basan, Bangladesh",ChIJK4ZEnpvcVTcR7MD3jpf1nR8,23.9888988,90.36542039999999,yes
588,Konabari,Gazipur,"Konabari, Gazipur, Bangladesh",OK,"Konabari, Bangladesh",ChIJi3n7Q6PdVTcRK8uSlVlcuI4,24.0112973,90.3219053,yes
589,Kashimpur,Gazipur,"Kashimpur, Gazipur, Bangladesh",OK,"Kashimpur, Bangladesh",ChIJpf90VBHdVTcR1F7bJz5th0U,23.9845353,90.3219053,yes
590,Pubail,Gazipur,"Pubail, Gazipur, Bangladesh",OK,"Pubail, Bangladesh",ChIJOc0RrGHFVTcRMLBDrzoLr6c,23.9172755,90.45967209999999,yes
591,Kotwali,Rangpur,"Kotwali, Rangpur, Bangladesh",OK,"P7W2+X5J, Kotwali Thana Rd, Rangpur 5400, Bangladesh",ChIJAzLHZfkt4zkRU8Ew-BALJb8,25.7474729,89.2503799,yes
592,Parshuram,Rangpur,"Parshuram, Rangpur, Bangladesh",OK,"Q6MM+JC3, Rangpur - Gangachara Rd, Rangpur, Bangladesh",ChIJS3TC4dUx4zkRfZqMef_sZQQ,25.7840157,89.2335484,yes
593,Tajhat,Rangpur,"Tajhat, Rangpur, Bangladesh",OK,"Tajhat Road, Rangpur 5400, Bangladesh",ChIJC95zWLEt4zkRklx04lcERJU,25.7252732,89.2799033,yes
594,Mahiganj,Rangpur,"Mahiganj, Rangpur, Bangladesh",OK,"P7HR+M9Q Bazar, Rangpur, Bangladesh",ChIJxTWiHAAt4zkR_MOOlOa0qfo,25.7292047,89.29098189999999,yes
595,Haragach,Rangpur,"Haragach, Rangpur, Bangladesh",OK,"Haragach, Bangladesh",ChIJh0yJH9so4zkRPVKTHX62J5c,25.8151583,89.3321823,yes
596,Hajiratat,Rangpur,"Hajiratat, Rangpur, Bangladesh",OK,"Rangpur, Bangladesh",ChIJmwGm_OYt4zkRyBj4h-aWpJ8,25.7493938,89.26108649999999,yes
