SL,Station ID,Station,River,Tidal Status,District,Upazila,Latitude,Longitude,First Date,Last Date
221,SW205,Kazipur,Mathabhanga,Non-Tidal,Meherpur,Gangni,23.9631,88.7425,14-08-1960,31-07-2026
222,SW135A,JuriCont_Silghat,Juri,Non-Tidal,Moulvibazar,Juri,24.6032,92.1200,13-05-1967,29-02-2004
223,SW67,Kamalganj,Dhalai,Non-Tidal,Moulvibazar,Kamalganj,24.3558,91.8489,01-04-1964,30-06-2026
224,SW201,Monu Rly.Bridge,Monu,Non-Tidal,Moulvibazar,Kamalganj,24.4256,91.9404,16-07-1958,30-06-2026
225,SW201.5,Chatlaghat,Monu,Non-Tidal,Moulvibazar,Kulaura,24.3640,91.9603,01-05-2022,31-07-2026
226,SW135,Juri_Silghat,Juri,Non-Tidal,Moulvibazar,Moulvibazar Sadar,24.5902,92.1177,10-05-1957,30-06-2026
227,SW175,Monumukh,Kushiyara,Non-Tidal,Moulvibazar,Moulvibazar Sadar,24.5839,91.7300,01-01-1959,10-08-1982
228,SW202,Moulvi Bazar,Monu,Non-Tidal,Moulvibazar,Moulvibazar Sadar,24.4942,91.7741,19-05-1949,30-06-2026
229,SW192,Motiganj,Lungla,Non-Tidal,Moulvibazar,Sreemangal,24.3065,91.6822,01-08-1958,30-06-2026
230,SW275.5,Meghna_Ferry Ghat,Surma-Meghna,Tidal,Munshiganj,Gazaria,23.6031,90.6242,01-04-1968,30-06-2026
231,SW93.5L,Mawa,Ganges-Padma,Tidal,Munshiganj,Lohajang,23.4748,90.2531,01-04-1968,30-06-2026
232,SW94,Tarpasa,Ganges-Padma,Tidal,Munshiganj,Lohajang,23.4662,90.3322,01-10-1928,30-06-2026
233,SW71A,Rekabi Bazar,Dhaleswari,Tidal,Munshiganj,Munshiganj Sadar,23.5701,90.5028,01-04-1968,31-07-2026
234,SW93.4L,Bhagyakul,Ganges-Padma,Tidal,Munshiganj,Sreenagar,23.5059,90.2182,01-04-1968,30-06-2026
235,SW314,Ghosegaon,Nitai,Non-Tidal,Mymensingh,Dhobaura,25.1494,90.5176,01-04-1965,31-07-2026
236,SW9.5,Trimohini,Banar,Non-Tidal,Mymensingh,Gaffargaon,24.2726,90.5467,01-04-1985,30-06-2026
237,SW9,Kauraid,Banar,Tidal,Mymensingh,Gaffargaon,24.3117,90.5136,01-04-1968,30-06-2026
238,SW8,Basuri,Banar,Non-Tidal,Mymensingh,Muktagachha,24.6998,90.1506,01-04-1982,30-06-2026
239,SW226,Offtake of Sirk,Old Brahmaputra,Non-Tidal,Mymensingh,Mymensingh Sadar,24.8640,90.2400,02-06-1959,18-02-1985
240,SW227,Offtake of Suti,Old Brahmaputra,Non-Tidal,Mymensingh,Mymensingh Sadar,24.7954,90.3319,01-06-1959,30-06-2026
241,SW228,Mymensingh,Old Brahmaputra,Non-Tidal,Mymensingh,Mymensingh Sadar,24.7366,90.4300,21-06-1944,31-03-1986
242,SW228.5,Mymensingh,Old Brahmaputra,Non-Tidal,Mymensingh,Mymensingh Sadar,24.7367,90.4296,01-04-1960,31-07-2026
243,SW35.5,Sarchapur_Mymensingh,Bhogai-Kangsa,Non-Tidal,Mymensingh,Phulpur,24.9969,90.3584,16-10-1964,30-06-2026
244,SW147,Atrai Rly. Bridge,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Naogaon,Atrai,24.6123,88.9769,01-04-1959,31-07-2026
245,SW144,Chak Hariharpur,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Naogaon,Dhamoirhat,25.1702,88.7513,13-12-1960,30-06-2026
246,SW145,Mohadebpur,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Naogaon,Mahadebpur,24.9183,88.7450,01-04-1959,31-07-2026
247,SW82,Jote Bazar_Offtake,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Naogaon,Manda,24.7240,88.7452,01-04-1964,31-07-2026
248,SW133,Naogaon,Little Jamuna,Non-Tidal,Naogaon,Naogaon Sadar,24.8087,88.9466,01-04-1964,30-06-2026
249,SW237,Nithpur,Punarbhaba,Non-Tidal,Naogaon,Porsha,25.0339,88.4506,01-04-1964,30-06-2026
250,SW219,Gazirhat,Nabaganga,Tidal,Narail,Kalia,22.9831,89.5617,06-04-1957,31-07-2026
251,SW218,Bardia(Nabaganga),Nabaganga,Tidal,Narail,Kalia,23.0834,89.6708,01-07-2016,31-07-2026
252,SW103,Bardia(Madhumati),Gorai-Madhumati-Haringhata-Baleswar,Tidal,Narail,Kalia,23.0988,89.6952,01-10-2017,31-07-2026
253,SW217A,Lohagara,Nabaganga,Tidal,Narail,Lohagara,23.1846,89.6485,01-04-1968,31-07-2026
254,SW55.1,Rathandanga,Chitra,Tidal,Narail,Narail Sadar,23.1969,89.5158,01-04-1968,31-07-2026
255,SW54,Kaliganj,Chitra,Tidal,Narail,Narail Sadar,23.4097,89.1400,01-04-1951,25-03-1977
256,SW217,Kala Chandpur,Nabaganga,Tidal,Narail,Narail Sadar,23.2396,89.5303,01-10-1957,31-07-2026
257,SW55,Khatur Magura,Chitra,Tidal,Narail,Narail Sadar,23.1925,89.4416,01-04-1957,31-07-2026
258,SW56.1,Narail,Chitra,Tidal,Narail,Narail Sadar,23.1688,89.5119,01-04-1968,31-07-2026
259,SW71,Kalagachia,Dhaleswari,Tidal,Narayanganj,Narayanganj Sadar,23.5700,90.5047,01-10-1945,30-06-2026
260,SW43,Hariharpara,Buriganga,Tidal,Narayanganj,Narayanganj Sadar,23.6335,90.4693,01-10-1945,31-07-2026
261,SW180,Narayanganj,Lakhya,Tidal,Narayanganj,Narayanganj Sadar,23.6305,90.5151,01-01-1947,30-06-2026
262,SW275,Badyar Bazar,Surma-Meghna,Tidal,Narayanganj,Sonargaon,23.6463,90.6253,15-07-1959,31-07-2026
263,SW274,Narsingdi,Surma-Meghna,Tidal,Narsingdi,Narsingdi Sadar,23.9186,90.7265,01-04-1959,31-07-2026
264,SW230.1,Ramnagar,Old Brahmaputra,Tidal,Narsingdi,Roypura,24.0370,90.9607,01-01-1996,31-07-2026
265,SW177,Lakhpur,Lakhya,Tidal,Narsingdi,Shibpur,24.0663,90.6369,01-04-1962,31-07-2026
266,SW16.1,Malanchi,Baral,Non-Tidal,Natore,Bagatipara,24.2930,88.9628,01-04-1965,31-07-2026
267,SW148,Chanchkair,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Natore,Gurudaspur,24.3725,89.2539,01-04-1959,31-07-2026
268,SW83.1,Naldanga_Rly.Crossing),Fakirni Barnai,Non-Tidal,Natore,Gurudaspur,24.5031,88.9608,01-04-1965,31-07-2026
269,SW147.5,Singra,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Natore,Singra,24.4975,89.1386,01-04-1977,30-06-2026
270,SW211A,Baruipara,Mahananda,Non-Tidal,Nawabganj,Bholahat,24.8733,88.2546,01-06-2022,30-06-2026
271,SW238,Rohanpur,Punarbhaba,Non-Tidal,Nawabganj,Gomastapur,24.8236,88.3189,01-04-1950,31-07-2026
272,SW210,Mohanpur,Mahananda,Non-Tidal,Nawabganj,Nawabganj Sadar,24.5766,88.2300,01-05-1958,25-05-1981
273,SW211.5,Chapai Nawabganj,Mahananda,Non-Tidal,Nawabganj,Nawabganj Sadar,24.6036,88.2815,01-10-1980,31-07-2026
274,SW88A,Panka,Ganges-Padma,Non-Tidal,Nawabganj,Shibganj,24.6000,88.1058,01-05-1996,31-07-2026
275,SW338,Cansart,Pagla,Non-Tidal,Nawabganj,Shibganj,24.7342,88.1685,01-04-1988,30-06-2026
276,SW338.5,Ramkrishnapur,Pagla,Non-Tidal,Nawabganj,Shibganj,24.5676,88.2077,01-01-1997,30-06-2026
277,SW311,Atpara,Mogra,Non-Tidal,Netrokona,Atpara,24.8119,90.8655,01-04-1982,30-06-2026
278,SW262,Bijoypur,Someswari,Non-Tidal,Netrokona,Durgapur,25.1720,90.6593,01-01-1959,30-06-2026
279,SW263,Durgapur,Someswari,Non-Tidal,Netrokona,Durgapur,25.1139,90.6705,01-01-1959,30-06-2026
280,SW263.1,Kalmakanda,Someswari,Non-Tidal,Netrokona,Kalmakanda,25.0767,90.8948,01-04-1964,30-06-2026
281,SW344,Ghog Bazar,Saiduli Baruni,Non-Tidal,Netrokona,Kendua,24.6896,90.8652,01-07-1996,31-07-2026
282,SW72,Khaliajuri,Dhanu-Baulai-Ghorautra,Tidal,Netrokona,Khaliajuri,24.6877,91.1348,01-06-1945,30-06-2026
283,SW355,South Hasonpur,Mogra,Non-Tidal,Netrokona,Madan,24.6261,90.9593,01-03-2018,30-06-2026
284,SW36.1,Mohanganj,Bhogai-Kangsa,Non-Tidal,Netrokona,Mohanganj,24.8728,90.9739,01-04-1964,31-07-2026
285,SW310,Netrokona,Mogra,Non-Tidal,Netrokona,Netrokona Sadar,24.8829,90.7248,01-04-1977,31-07-2026
286,SW36,Jaria-Jhanjail,Bhogai-Kangsa,Non-Tidal,Netrokona,Purbadhala,25.0103,90.6533,01-04-1960,30-06-2026
287,SW61,Boragari,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Nilphamari,Dimla,26.1039,88.8587,24-09-1960,30-06-2026
288,SW328,Kumarpara,Naotara,Non-Tidal,Nilphamari,Dimla,26.1307,88.9813,13-11-1997,30-06-2026
289,SW291.1L,Uttar Kharibari,Teesta,Non-Tidal,Nilphamari,Dimla,26.2300,89.0250,01-04-1996,28-02-2001
290,SW291,Uttar Kharibari,Teesta,Non-Tidal,Nilphamari,Dimla,26.2095,88.9800,01-03-1997,28-02-2006
291,SW331,Uttar Gomanati,Buri Teesta,Non-Tidal,Nilphamari,Dimla,26.2307,88.8701,14-05-1988,31-07-2026
292,SW291.5R,Dalia,Teesta,Non-Tidal,Nilphamari,Dimla,26.1758,89.0505,01-01-1996,31-07-2026
293,SW291.2R,Dakkhin Kharibari,Teesta,Non-Tidal,Nilphamari,Dimla,26.2006,88.9990,01-05-2022,30-06-2026
294,SW346,Pocharhat,Buri Teesta,Non-Tidal,Nilphamari,Dimla,26.1058,88.9539,01-04-1998,30-06-2026
295,SW291.2L,Uttar Kharibari,Teesta,Non-Tidal,Nilphamari,Dimla,26.2051,89.0250,16-05-2022,31-07-2026
296,SW156A,Kundal,Kharkhuria,Non-Tidal,Nilphamari,Saidpur,25.7741,88.8773,12-07-1964,31-07-2026
297,SW221.5,Begumganj,Noakhali Khal,Tidal,Noakhali,Begumganj,22.9447,91.1098,18-04-1996,31-07-2026
298,SW182,Companyganj,Little Feni Dakatia,Tidal,Noakhali,Companiganj,22.7694,91.3492,01-04-1968,30-06-2026
299,SW321,Hatiya,Hatiya Channel,Tidal,Noakhali,Hatiya,22.2485,91.1403,01-04-1968,31-07-2026
300,SW222,Noakhali,Noakhali Khal,Tidal,Noakhali,Noakhali Sadar,22.8450,91.1017,01-04-1959,31-07-2026
301,SW50.3,Mathura,Brahmaputra-Jamuna,Non-Tidal,Pabna,Bera,23.9478,89.6530,01-04-1964,31-07-2026
302,SW17.1,Baral_Rly_Bridge,Baral,Non-Tidal,Pabna,Bhangura,24.2182,89.3806,02-04-1964,31-07-2026
303,SW149,Astamanisha,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Pabna,Bhangura,24.2598,89.3524,14-12-1958,30-06-2026
304,SW149.1,Gumani Rly.Brid,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Pabna,Bhangura,24.2283,89.4198,01-04-1964,30-06-2026
305,SW150,Dohakoladanga,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Pabna,Faridpur,24.1758,89.4714,14-12-1958,30-06-2026
306,SW90,Hardinge Bridge,Ganges-Padma,Non-Tidal,Pabna,Ishwardi,24.0794,89.0336,01-04-1910,30-06-2026
307,SW126,Pabna,Ichamati (Spill from Ganges),Tidal,Pabna,Pabna Sadar,23.9656,89.2600,05-05-1929,17-02-1978
308,SW232,Phulbari_Outfall,Pathraj,Non-Tidal,Panchagarh,Boda,26.0554,88.6907,05-10-1960,31-07-2026
309,SW141,Debiganj,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Panchagarh,Debiganj,26.1201,88.7505,01-04-1948,30-06-2026
310,SW283,Molani,Talma,Non-Tidal,Panchagarh,Panchagarh Sadar,26.3345,88.5896,01-04-1959,31-07-2026
311,SW305.5,Ghoramaraghat,Ghoramara,Non-Tidal,Panchagarh,Panchagarh Sadar,26.2609,88.6959,28-11-1969,31-07-2026
312,SW140,Panchagarh,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Panchagarh,Panchagarh Sadar,26.3303,88.5519,01-07-1948,31-07-2026
313,SW282,Bhitargar,Talma,Non-Tidal,Panchagarh,Panchagarh Sadar,26.4162,88.5022,01-05-1959,31-07-2026
314,SW57A,Rowshanpur,Dahuk,Non-Tidal,Panchagarh,Tentulia,26.5434,88.4288,01-04-1988,31-07-2026
315,SW209A,Tetulia,Mahananda,Non-Tidal,Panchagarh,Tentulia,26.5054,88.3446,01-04-1979,31-07-2026
316,SW139,Bardeswari,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Panchagarh,Tentulia,26.5046,88.4920,01-04-1961,31-07-2026
317,SW19,Mirzaganj,Barisal-Buriswar,Tidal,Patuakhali,Mirzaganj,22.3587,90.2304,01-06-1957,31-07-2026
318,SW107A,Nazirpur,Gorai-Madhumati-Haringhata-Baleswar,Tidal,Pirojpur,Nazirpiur,22.7073,89.9673,01-04-1991,31-07-2026
319,SW107,Pirojpur,Gorai-Madhumati-Haringhata-Baleswar,Tidal,Pirojpur,Pirojpur Sadar,22.5826,89.9630,01-05-1952,31-07-2026
320,SW136.1,Umedpur,Kocha,Tidal,Pirojpur,Pirojpur Sadar,22.5089,89.9962,01-04-1977,31-07-2026
321,SW253,Swarupkati,Swarupkati/Sandha,Tidal,Pirojpur,Swarupkati,22.7461,90.1037,01-01-1959,31-07-2026
322,SW51,Ramdia,Chandana Arakandikhal,Non-Tidal,Rajbari,Baliakandi,23.7031,89.5265,01-04-1965,31-07-2026
323,SW91.9R,Goalundo Transi,Ganges-Padma,Non-Tidal,Rajbari,Goalandaghat,23.7679,89.7788,01-04-1964,31-07-2026
324,SW91.1,Sengram,Ganges-Padma,Non-Tidal,Rajbari,Pangsha,23.9031,89.3658,01-01-1963,31-07-2026
325,SW91.7R,Urakanda,Ganges-Padma,Tidal,Rajbari,Rajbari Sadar,23.7916,89.6800,01-04-1964,30-01-1982
326,SW91.2,Mohendrapur,Ganges-Padma,Non-Tidal,Rajbari,Rajbari Sadar,23.7991,89.5778,01-01-1963,31-07-2026
327,SW83,Bagmara,Fakirni Barnai,Non-Tidal,Rajshahi,Baghmara,24.5581,88.8096,01-04-1964,31-07-2026
328,SW88,Rajshahi,Ganges-Padma,Non-Tidal,Rajshahi,Boalia,24.3610,88.5704,01-04-1922,31-07-2026
329,SW15,Charghat,Baral,Tidal,Rajshahi,Charghat,24.2808,88.7500,01-04-1964,18-11-1979
330,SW16,Nandangachi,Baral,Tidal,Rajshahi,Charghat,24.2926,88.8600,01-04-1964,30-06-1984
331,SW89,Sardah,Ganges-Padma,Non-Tidal,Rajshahi,Charghat,24.3061,88.7193,01-04-1929,31-07-2026
332,SW211,Godagari,Mahananda,Non-Tidal,Rajshahi,Godagari,24.4656,88.3200,01-06-1945,26-05-1981
333,SW261,Nawhata,Siva-Barnai-Gurnai,Non-Tidal,Rajshahi,Paba,24.4598,88.6118,01-04-1959,31-07-2026
334,SW260,Pearpur,Siva-Barnai-Gurnai,Non-Tidal,Rajshahi,Tanore,24.4902,88.5800,01-04-1959,31-12-1996
335,SW152.5,Baraharina,Karnafuli,Non-Tidal,Rangamati,Barkal,22.9292,92.3758,20-02-2019,30-06-2026
336,SW62,Badarganj,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Rangpur,Badarganj,25.6822,89.0762,01-04-1959,31-07-2026
337,SW294,Kaunia,Teesta,Non-Tidal,Rangpur,Kaunia,25.7888,89.4389,15-07-1945,30-06-2026
338,SW96.5,Mirjapur,Ghagot,Non-Tidal,Rangpur,Mithapukur,25.5487,89.4028,01-04-1998,30-06-2026
339,SW96,Islampur,Ghagot,Non-Tidal,Rangpur,Mithapukur,25.6793,89.2736,01-06-1946,31-07-2026
340,SW96A,Jafarganj Road Crossing,Ghagot,Non-Tidal,Rangpur,Rangpur Sadar,25.7996,89.1882,10-07-1964,30-06-2026
341,SW61.5,Barati,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Rangpur,Taraganj,25.8109,89.0583,01-01-1996,31-07-2026
342,SW44.1,Nizbari Road Crossing,Burikhora Chiki,Non-Tidal,Rangpur,Taraganj,25.7961,88.9558,12-07-1964,31-07-2026
343,SW25,Chapra,Betna-Kholpetua,Tidal,Satkhira,Assasuni,22.5703,89.1874,01-04-1968,31-07-2026
344,SW26,Protapnagar,Betna-Kholpetua,Tidal,Satkhira,Assasuni,22.3732,89.2099,01-04-1968,31-07-2026
345,SW128,Shakra,Ichamati (Western Border),Tidal,Satkhira,Debhata,22.6173,88.9618,01-04-1968,31-07-2026
346,SW23,Kalaroa,Betna-Kholpetua,Tidal,Satkhira,Kalaroa,22.8880,89.0412,01-04-1968,31-07-2026
347,SW129,Basantapur,Ichamati (Western Border),Tidal,Satkhira,Kaliganj,22.4675,88.9991,01-04-1952,31-07-2026
348,SW254.5,Elarchar,Satkhira Khal,Tidal,Satkhira,Satkhira Sadar,22.5634,89.1426,01-04-1976,31-07-2026
349,SW24,Benarpota,Betna-Kholpetua,Tidal,Satkhira,Satkhira Sadar,22.7529,89.1012,01-04-1968,31-07-2026
350,SW130,Kaikhali,Ichamati (Western Border),Tidal,Satkhira,Shyamnagar,22.2013,89.0731,01-04-1968,31-07-2026
351,SW163,Tala Magura,Kobadak,Tidal,Satkhira,Tala,22.7283,89.2365,01-04-1968,31-07-2026
352,SW277.1R,Ibrahimpur,Surma-Meghna,Tidal,Shariatpur,Bhedarganj,23.1832,90.5799,01-01-2004,31-07-2026
353,SW329,Damudya,Damudya Khal,Tidal,Shariatpur,Damudya,23.1364,90.4433,01-08-2020,31-07-2026
354,SW95,Sureswar,Ganges-Padma,Tidal,Shariatpur,Naria,23.3115,90.4759,01-10-1954,31-07-2026
355,SW350,Rajnganj,Kirtinasha,Tidal,Shariatpur,Sariatpur Sadar,23.2206,90.3392,01-09-2004,31-07-2026
356,SW34.5,Jhenaigati,Moharoshi,Non-Tidal,Sherpur,Jhenaigati,25.1828,90.0689,01-01-2026,31-07-2026
357,SW35,Nalitabari,Bhogai-Kangsa,Non-Tidal,Sherpur,Nalitabari,25.0854,90.1953,19-04-1957,31-07-2026
358,SW53,Bath Kuchi,Chellakhali,Non-Tidal,Sherpur,Nalitabari,25.1967,90.1765,29-04-1957,31-07-2026
359,SW34,Nakuagaon,Bhogai-Kangsa,Non-Tidal,Sherpur,Nalitabari,25.1896,90.2158,21-04-1957,31-07-2026
360,SW36.5,Sreebardi,Someshwari (Jhenaigati),Non-Tidal,Sherpur,Sreebardi,25.2556,89.9036,01-01-2026,31-07-2026
361,SW49A,Kazipur,Brahmaputra-Jamuna,Non-Tidal,Sirajganj,Kazipur,24.6698,89.6491,01-04-1967,31-07-2026
362,SW11.5,Nalkasengati,Bangali,Non-Tidal,Sirajganj,Raiganj,24.4239,89.5927,01-12-1996,30-06-2026
363,SW151,Baghabari,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Sirajganj,Shahjadpur,24.1312,89.5813,01-06-1945,30-06-2026
364,SW49,Sirajganj,Brahmaputra-Jamuna,Non-Tidal,Sirajganj,Sirajganj Sadar,24.4685,89.7196,01-06-1945,30-06-2026
365,SW66,Ullapara_Rly_Crossing,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Sirajganj,Ullapara,24.2977,89.5940,01-04-1959,30-06-2026
366,SW313,Nangoora Bridge,Nangoora,Non-Tidal,Sirajganj,Ullapara,24.2568,89.4888,01-04-1965,31-07-2026
367,SW333A,Dulura,Jhalukhali,Non-Tidal,Sunamganj,Bishwamvarpur,25.1593,91.3878,01-07-1996,30-06-2026
368,SW33,Gobindaganj,Bhattakhal,Tidal,Sunamganj,Chhatak,24.9403,91.6900,16-10-1958,30-09-2000
369,SW315,Chhatak,Madhabpur Khal,Non-Tidal,Sunamganj,Chhatak,25.1012,91.6500,09-06-1966,31-08-1977
370,SW268,Chhatak,Surma-Meghna,Non-Tidal,Sunamganj,Chhatak,25.0367,91.6626,01-04-1949,30-06-2026
371,SW269.5,Derai_on Kalni,Surma-Meghna,Non-Tidal,Sunamganj,Derai,24.7982,91.3538,01-04-1996,30-06-2026
372,SW263.2,Madhanagar,Someswari,Non-Tidal,Sunamganj,Dharampasha,25.0495,90.9960,01-03-2018,30-06-2026
373,SW337,Urargaon,Noyagang,Non-Tidal,Sunamganj,Dowarabazar,25.1209,91.5936,28-07-1988,30-06-2026
374,SW341,Chella Sonapur,Omayan Chella,Non-Tidal,Sunamganj,Dowarabazar,25.1301,91.6685,03-05-1989,30-06-2026
375,SW352,Jagonathpur,Naljar,Non-Tidal,Sunamganj,Jagannathpur,24.7639,91.5514,01-03-2012,30-06-2026
376,SW345,Durlavpur,Surma-Noya,Non-Tidal,Sunamganj,Jamalganj,24.9983,91.2579,01-07-1996,30-06-2026
377,SW72B,Sukdebpur,Dhanu-Baulai-Ghorautra,Non-Tidal,Sunamganj,Jamalganj,24.8795,91.1627,01-04-1982,30-06-2026
378,SW351,Akther Para,Mohasingh,Non-Tidal,Sunamganj,South Sunamganj,24.8779,91.4879,01-03-2018,30-06-2026
379,SW333,Muslimpur,Jhalukhali,Non-Tidal,Sunamganj,Sunamganj Sadar,25.1109,91.3914,01-04-1988,30-06-2026
380,SW269,Sunamganj,Surma-Meghna,Non-Tidal,Sunamganj,Sunamganj Sadar,25.0792,91.4121,01-04-1949,30-06-2026
381,SW131.5,Laurergarh Saktiarkhola,Jadukata,Non-Tidal,Sunamganj,Tahirpur,25.1891,91.2508,01-04-1993,14-07-2026
382,SW131,Saktiarkhola,Jadukata,Tidal,Sunamganj,Tahirpur,25.1884,91.2500,01-04-1964,31-03-1992
383,SW354,Salemanpur (South Sreepur),Patnai,Non-Tidal,Sunamganj,Tahirpur,25.0926,91.1192,01-03-2018,30-06-2026
384,SW173A,Sheola,Kushiyara,Non-Tidal,Sylhet,Beanibazar,24.9073,92.1500,01-04-1962,31-08-1977
385,SW173,Sheola,Kushiyara,Non-Tidal,Sylhet,Beanibazar,24.8911,92.1915,09-06-1949,30-06-2026
386,SW234,Companiganj,Piyan,Non-Tidal,Sylhet,Companiganj,25.0890,91.7601,01-01-1959,30-06-2026
387,SW332,Islampur,Dhala,Non-Tidal,Sylhet,Companiganj,25.1302,91.7538,01-04-1988,31-07-2026
388,SW265,Jaldhup,Sonai-Bardal,Non-Tidal,Sylhet,Fenchuganj,24.7738,92.1729,16-04-1957,30-06-2026
389,SW174,Fenchuganj,Kushiyara,Non-Tidal,Sylhet,Fenchuganj,24.7023,91.9414,26-05-1948,31-07-2026
390,SW252,Gowainghat,Sari-Gowain,Non-Tidal,Sylhet,Gowainghat,25.0886,91.9809,01-01-1951,14-07-2026
391,SW233,Ratnar bhanga(Piyan gang),Piyan,Non-Tidal,Sylhet,Gowainghat,25.1624,91.9670,01-04-1959,30-06-2026
392,SW251,Sarighat,Sari-Gowain,Non-Tidal,Sylhet,Jaintiapur,25.0939,92.1173,01-05-1951,31-07-2026
393,SW233A,Jaflong_Spill,Piyan,Non-Tidal,Sylhet,Jaintiapur,25.1568,92.0167,01-04-1996,13-07-2026
394,SW326A,Borogram,Lubachara,Non-Tidal,Sylhet,Kanairghat,25.0540,92.3374,01-07-1996,30-06-2026
395,SW266,Kanairghat,Surma-Meghna,Non-Tidal,Sylhet,Kanairghat,24.9980,92.2594,01-06-1952,30-06-2026
396,SW326,Lubachara,Lubachara,Non-Tidal,Sylhet,Kanairghat,25.0515,92.3085,01-04-1982,30-06-2026
397,SW175.5,Sherpur,Kushiyara,Non-Tidal,Sylhet,Osmani Nagar,24.6303,91.6813,01-04-1982,30-06-2026
398,SW6,Off take of Surma,Bahia,Tidal,Sylhet,Sylhet Sadar,24.9063,91.8200,08-07-1960,03-11-1976
399,SW267,Sylhet,Surma-Meghna,Non-Tidal,Sylhet,Sylhet Sadar,24.8879,91.8680,01-01-1938,14-07-2026
400,SW252.1,Salutikar,Sari-Gowain,Non-Tidal,Sylhet,Sylhet Sadar,24.9916,91.8522,01-04-1964,30-06-2026
401,SW172,Amalshid,Kushiyara,Non-Tidal,Sylhet,Zakiganj,24.8732,92.4861,17-04-1951,31-07-2026
402,SW172.5,Amalshid,Kushiyara,Non-Tidal,Sylhet,Zakiganj,24.8784,92.4900,01-04-1993,31-12-2017
403,SW343.5,Bhuiyanpur d/s,Futikjani,Non-Tidal,Tangail,Bhuapur,24.4688,89.8753,01-04-1999,18-01-2023
404,SW68A,Elashin,Dhaleswari,Non-Tidal,Tangail,Delduar,24.1187,89.8877,01-07-1996,30-06-2026
405,SW342,Nolsafa,Futikjani,Non-Tidal,Tangail,Ghatail,24.4887,89.9000,01-07-1996,31-07-2026
406,SW134,Jukerchar,Jhenai,Non-Tidal,Tangail,Kalihati,24.3779,89.8526,01-08-1958,30-06-2026
407,SW12,Madhupur,Bangshi,Non-Tidal,Tangail,Madhupur,24.6058,90.0289,01-08-1957,30-06-2026
408,SW14,Mirzapur_Bangshi,Bangshi,Non-Tidal,Tangail,Mirzapur,24.1096,90.0974,01-07-1945,31-07-2026
409,SW13,Kawaljani,Bangshi,Non-Tidal,Tangail,Tangail Sadar,24.2990,90.0583,01-04-1959,30-06-2026
410,SW50,Porabari,Brahmaputra-Jamuna,Non-Tidal,Tangail,Tangail Sadar,24.3011,89.7970,01-04-1940,30-06-2026
411,SW186,Jugini,Lohajang,Non-Tidal,Tangail,Tangail Sadar,24.2904,89.8746,01-07-1945,14-01-2023
412,SW335,Bhutdangi,Kulik,Non-Tidal,Thakurgaon,Haripur,25.8207,88.2407,01-04-1988,31-07-2026
413,SW336,Bujruk,Nagar (NW border),Non-Tidal,Thakurgaon,Haripur,25.8725,88.1053,01-04-1988,31-07-2026
414,SW285,Thakurgaon,Tangon,Non-Tidal,Thakurgaon,Thakurgaon,26.0359,88.4569,01-04-1960,31-07-2026
415,SW284,Raniganj,Tangon,Non-Tidal,Thakurgaon,Thakurgaon,26.1839,88.4014,01-01-1960,30-06-2026
