SL,Station ID,Station,River,Tidal Status,District,Upazila,Latitude,Longitude,First Date,Last Date
71,SW207,Chuadanga,Mathabhanga,Non-Tidal,Chuadanga,Chuadanga Sadar,23.6479,88.8455,01-04-1959,31-07-2026
72,SW208,Darsana,Mathabhanga,Non-Tidal,Chuadanga,Damurhuda,23.5246,88.7884,02-07-1958,31-07-2026
73,SW160,Andulbaria,Kobadak,Tidal,Chuadanga,Jjbannagar,23.4760,88.9100,17-04-1965,31-07-2012
74,SW204,Chiringa,Matamuhuri,Tidal,Coxs Bazar,Chakaria,21.7710,92.0813,01-06-1956,30-06-2026
75,SW41,Coxs Bazar,Bogkhali,Tidal,Coxs Bazar,Cox's Bazar Sadar,21.4480,91.9800,01-08-2003,31-08-2003
76,SW176,Lemsikhali,Kutubdia Channel,Tidal,Coxs Bazar,Kutubdia,21.8132,91.8752,01-04-1969,30-06-2026
77,SW200,Saflapur_Moheshkhali,Moheshkhali Channel,Tidal,Coxs Bazar,Maheshkhali,21.6594,91.9685,01-04-1968,31-07-2026
78,SW40,Ramu,Bogkhali,Non-Tidal,Coxs Bazar,Ramu,21.4205,92.1098,01-04-1965,31-07-2026
79,SW358,Rongikhali,Naf,Tidal,Coxs Bazar,Teknaf,21.0484,92.2539,01-09-2020,31-07-2026
80,SW339,Salda Rly Bridg,Salda,Non-Tidal,Cumilla,Brahmanpara,23.6716,91.1564,01-04-1988,31-07-2026
81,SW111,Sholanal,Gumti-Burinadi,Tidal,Cumilla,Burichang,23.4864,91.1700,01-06-1927,31-03-1984
82,SW113,Kangsanagar,Gumti-Burinadi,Non-Tidal,Cumilla,Burichang,23.5553,91.0647,01-06-1953,31-10-2022
83,SW334,Miar Bazar,Kakri,Non-Tidal,Cumilla,Chauddagram,23.3351,91.2693,01-04-1988,31-07-2026
84,SW181A,Selonia,Little Feni Dakatia,Non-Tidal,Cumilla,Chauddagram,22.9823,91.3375,01-06-1996,31-07-2026
85,SW181,Gunabati Rly.Br,Little Feni Dakatia,Non-Tidal,Cumilla,Chauddagram,23.1013,91.2778,01-04-1965,30-06-2026
86,SW348,Chowara,Sonaichari_Khal,Non-Tidal,Cumilla,Cumilla Sadar,23.4161,91.2207,01-05-1996,31-07-2020
87,SW109,Bibirbazar,Gumti-Burinadi,Non-Tidal,Cumilla,Cumilla Sadar,23.4706,91.2448,01-06-1923,31-07-2026
88,SW110,Cumilla,Gumti-Burinadi,Non-Tidal,Cumilla,Cumilla Sadar,23.4704,91.2027,01-04-1940,31-07-2026
89,SW115,Daudkandi,Gumti-Burinadi,Tidal,Cumilla,Daudkandi,23.5405,90.7148,01-10-1956,31-07-2026
90,SW114,Jibanpur_Gumti,Gumti-Burinadi,Non-Tidal,Cumilla,Debidwar,23.6056,90.9942,01-04-1954,31-07-2026
91,SW112,Gubindapur,Gumti-Burinadi,Tidal,Cumilla,Laksam,23.5256,91.1100,01-06-1923,31-03-1979
92,SW7.5,Demra(Balu),Balu,Tidal,Dhaka,Demra,23.7329,90.4965,01-04-1962,31-07-2026
93,SW179,Demra(Lakhya),Lakhya,Tidal,Dhaka,Demra,23.7278,90.5059,01-04-1952,31-07-2026
94,SW42,Dhaka_Mill Barrack,Buriganga,Tidal,Dhaka,Dhaka Sadar(Kotwal,23.6969,90.4195,01-04-1909,31-07-2026
95,SW70,Kalatia_Outfall,Dhaleswari,Tidal,Dhaka,Keraniganj,23.7304,90.2561,01-04-1968,30-06-2026
96,SW302,Mirpur,Turag,Tidal,Dhaka,Mirpur,23.7846,90.3364,01-01-1953,30-06-2026
97,SW69,Savar,Dhaleswari,Tidal,Dhaka,Savar,23.8403,90.2439,01-04-1945,30-06-2026
98,SW14.5,Nayarhat,Bangshi,Tidal,Dhaka,Savar,23.9057,90.2310,01-04-1964,30-06-2026
99,SW299,Tongi,Tongi Khal,Tidal,Dhaka,Uttara,23.8824,90.4021,01-04-1960,30-06-2026
100,SW340,Kazipara,Tentulia (Dinajpur),Non-Tidal,Dinajpur,Biral,25.6207,88.4995,02-04-1988,31-07-2026
101,SW235A,Prannagar,Punarbhaba,Non-Tidal,Dinajpur,Birganj,25.9111,88.5648,01-09-1964,31-07-2026
102,SW287,Kodalkatigaon,Tangon,Non-Tidal,Dinajpur,Bochaganj,25.7037,88.4367,07-10-1960,30-06-2026
103,SW236,Dinajpur_Pulhat,Punarbhaba,Non-Tidal,Dinajpur,Dinajpur Sadar,25.6156,88.6257,01-01-1996,30-06-2026
104,SW142.1,Bhushirbandar,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Dinajpur,Dinajpur Sadar,25.7700,88.7313,12-07-1964,30-06-2026
105,SW143,Shamjhiaghat,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Dinajpur,Dinajpur Sadar,25.5413,88.7586,21-06-1949,30-06-2026
106,SW132.2,Phulbari,Little Jamuna,Non-Tidal,Dinajpur,Fulbari,25.5004,88.9515,01-06-1996,31-07-2026
107,SW78,Kantanagar,Dhepa,Non-Tidal,Dinajpur,Kaharole,25.8134,88.6746,01-04-1982,30-06-2026
108,SW235,Kaharol,Punarbhaba,Non-Tidal,Dinajpur,Kaharole,25.7942,88.6000,17-04-1964,31-03-1980
109,SW142,Khansama,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Dinajpur,Khansama,25.9306,88.7257,01-09-1945,30-06-2026
110,SW62.5,Siraj,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Dinajpur,Nawabganj,25.4094,89.1571,01-01-1997,31-07-2026
111,SW132,Manmathpur,Little Jamuna,Non-Tidal,Dinajpur,Parbatipur,25.6578,88.8414,01-06-1964,30-06-2026
112,SW170,Bhanga,Kumar_Faridpur,Tidal,Faridpur,Bhanga,23.3872,89.9750,01-04-1965,31-07-2026
113,SW52,Ghosepur,Chandana Arakandikhal,Non-Tidal,Faridpur,Boalmari,23.4355,89.6626,01-04-1965,31-07-2026
114,SW167,Ibrahimdi,Kumar_Faridpur,Tidal,Faridpur,Boalmari,23.5615,89.7900,01-04-1965,31-03-1985
115,SW169,Mazurdia,Kumar_Faridpur,Non-Tidal,Faridpur,Boalmari,23.4829,89.6862,01-04-1965,31-07-2026
