bwdb_serial,river_name_en,bwdb_zone,border_river,flow_type,source
345,Salda,NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
346,Saldah,NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
347,Salta,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
348,Sandhya,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
350,Sapmara-Habra (Khutik Khali),SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
351,Sari Gowain,NE,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
352,Satar khali,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
353,Sati-Swarnamati-Bhateshwari,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
354,Saya-Haribhanga,NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
355,Selonia,SE,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
356,Senua,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
357,Shakbaria,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
358,Shatla-Harta-Natharkanda,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
359,Shetalakhya,NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
360,Shibsa,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
361,Shiv,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
362,Shoilmari,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
363,Shuksi,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
364,Simlajan,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
365,Sinai,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
366,Singimari,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
367,Singua,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
368,Sirajpur haor,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
369,Sirmakhali Khal,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
370,Soj,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
371,Someshwari,NE,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
372,Someshwari (Dharmapasha),NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
373,Someshwari (Shrivardhi-Jhenaigati),NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
374,Sonai,NE,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
375,Sonai-Bardal,NE,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
376,Sonakhali Khal,SE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
377,Sugandha,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
378,Sui,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
381,Suteea,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
382,Suti,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
383,Talma,NW,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
384,Taltola Khal,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
385,Tangon,NW,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
386,Tanki Khal,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
387,Tarkey,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
388,Teernoi (Thakurgaon),NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
389,Teliganga-Ghangrail,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
390,Tentulia (Barisal),SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
391,Tiakhali,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
392,Tirnoi (Panchagarh),NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
393,Tisra,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
394,Tisra (Panchagarh),NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
396,Titas (Narsingdi Sadar-Bancharampur),NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
397,Tongi Khal,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
398,Tulsi Ganga,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
399,Tulsikhali Khal,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
401,Umium,NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
402,Upadakhali,NE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
403,Varuakhali Khal,EH,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
404,Versa,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
405,Vishnue-Kumarkhali,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
